Temperatura (°C),pH,Tempo (h),Glicose (g/L),Agitação (rpm),Tipo de Fermentador,Operador Responsável,Rendimento Etanol (%)
27.79,4.78,19.9,180.7,277.6,Tipo B,Carlos,27.33
30.59,5.73,46.1,101.0,165.4,TIPO C,Desconhecido,39.21
38.93,5.45,46.3,128.8,213.3,Tipo A,ana,48.75
25.93,4.81,47.7,103.1,179.5,Desconhecido,Carlos,49.77
26.39,4.43,41.1,109.4,114.8,Tipo B,Bruno,34.86
27.44,4.71,18.8,121.9,172.6,TIPO C,bruno,20.77
33.93,4.57,,150.4,181.6,tipo a,Ana,37.48
27.26,4.35,,184.8,279.1,Tipo C,,29.41
39.52,5.49,23.5,186.2,164.9,Tipo-B,,45.07
31.7,4.5,,161.6,175.8,Tipo A,,46.89
32.52,4.91,40.4,192.8,256.6,Tipo-B,bruno,40.96
28.7,4.77,38.1,150.0,251.8,Desconhecido,bruno,41.77
32.06,5.96,18.7,188.9,259.7,Tipo B,Carlos,26.35
,4.78,44.7,145.4,290.8,Tipo B,,48.21
36.27,4.16,41.8,127.7,259.1,tipo a,,49.97
36.31,-1.0,17.9,191.6,181.5,,,34.67
33.67,5.18,,138.8,264.3,Tipo B,Bruno,59.62
38.57,5.2,21.8,150.3,201.7,Tipo B,Carlos,36.39
37.26,4.84,14.9,132.9,155.5,Desconhecido,Desconhecido,33.0
36.36,4.86,35.6,166.3,160.6,,,41.18
25.83,4.11,35.5,199.5,144.8,Tipo-B,Bruno,37.89
25.1,5.03,15.4,102.6,129.0,Tipo-B,ana,32.47
28.19,5.01,23.5,9999.0,136.9,Tipo A,Bruno,42.98
34.95,4.3,47.7,100.4,112.6,Tipo A,Bruno,60.63
31.17,4.21,36.4,136.4,277.7,Tipo B,Carlos,44.46
31.04,4.25,38.3,116.9,286.2,TIPO C,bruno,39.46
38.27,4.2,19.7,175.7,217.4,Tipo C,bruno,32.0
38.43,5.22,14.8,105.1,268.1,Tipo A,bruno,30.57
38.64,4.39,22.0,155.3,136.7,Tipo B,bruno,34.21
29.71,4.5,21.0,129.5,280.3,TIPO C,bruno,34.24
35.37,4.35,20.4,113.4,201.3,TIPO C,Desconhecido,37.58
29.07,-1.0,18.9,177.2,113.4,Tipo-B,Ana,25.04
27.86,5.71,32.7,121.7,128.3,TIPO C,ana,48.93
27.77,4.46,23.8,122.4,161.8,tipo a,Bruno,33.9
30.13,4.66,41.5,127.5,108.7,Tipo-B,Ana,54.61
,4.42,18.6,158.7,161.9,Tipo-B,Desconhecido,34.2
37.46,4.98,28.7,166.0,112.0,tipo a,,53.41
26.8,4.04,12.5,101.8,147.2,Desconhecido,,16.49
36.02,5.34,29.3,124.2,153.1,Desconhecido,bruno,38.81
32.97,5.05,14.0,143.1,298.9,Tipo-B,,28.42
29.32,5.8,47.2,133.2,147.1,Tipo A,Desconhecido,51.92
,-1.0,40.5,188.4,147.8,Tipo-B,ana,49.94
29.5,5.61,29.6,178.8,237.4,tipo a,ana,42.79
,5.58,15.1,162.6,271.9,Tipo B,Desconhecido,32.36
31.51,4.25,33.3,133.8,177.4,,,44.78
27.47,4.8,39.3,170.1,275.1,Tipo B,Ana,45.8
26.75,4.34,18.9,9999.0,168.0,Tipo B,Bruno,33.31
33.2,4.51,,159.5,139.4,Desconhecido,Carlos,57.27
38.54,4.53,41.3,178.4,165.9,tipo a,Carlos,52.87
30.16,5.11,39.7,174.9,221.9,tipo a,ana,42.02
36.0,4.82,40.9,157.2,173.4,Tipo A,Bruno,48.31
34.88,5.9,43.7,131.2,234.6,tipo a,bruno,48.67
38.97,4.25,45.8,174.6,147.4,TIPO C,Desconhecido,50.79
37.31,5.95,26.6,120.7,240.2,Tipo B,,39.26
33.5,4.46,32.5,177.9,169.5,tipo a,bruno,48.06
34.86,5.55,40.5,180.5,191.2,Tipo C,ana,44.37
38.48,4.68,37.1,182.2,211.5,Desconhecido,Desconhecido,42.06
30.99,4.29,47.8,147.3,237.2,Tipo-B,Carlos,66.16
29.9,5.72,12.5,9999.0,147.7,Tipo A,ana,20.42
25.16,-1.0,,110.0,267.2,Tipo B,ana,41.33
37.4,5.32,22.1,174.3,244.4,,Bruno,42.77
37.01,5.13,21.4,188.6,146.8,TIPO C,Ana,34.95
26.57,4.94,20.0,165.1,295.0,TIPO C,ana,29.59
33.65,4.99,37.5,114.4,233.0,,Ana,44.35
31.96,5.46,15.1,193.5,190.5,Tipo B,Bruno,29.03
26.78,4.18,38.7,198.9,131.5,TIPO C,ana,48.42
39.71,5.34,37.0,143.3,206.6,Tipo C,,42.73
28.22,5.79,21.0,159.5,133.0,Tipo A,ana,38.02
26.01,4.12,21.1,177.7,185.9,Desconhecido,Carlos,28.27
33.92,4.28,34.6,173.6,181.7,Tipo-B,Desconhecido,37.97
36.08,5.43,39.4,196.8,244.0,Tipo A,,52.81
25.49,4.87,,111.5,138.5,Tipo A,Ana,59.57
34.88,4.81,42.7,158.1,264.4,Desconhecido,Carlos,49.05
32.98,4.27,46.7,169.2,165.2,,,54.3
26.55,5.01,32.9,189.0,188.8,Tipo B,ana,43.58
27.59,4.25,44.7,187.4,254.5,,Bruno,60.77
33.52,4.95,,197.8,225.1,tipo a,bruno,47.72
29.45,-1.0,44.2,151.2,161.6,Tipo-B,Carlos,55.07
39.07,4.52,12.4,183.1,177.2,Tipo A,Carlos,24.51
37.28,4.96,,142.7,161.2,Tipo C,bruno,56.99
39.75,5.98,29.0,142.2,219.0,Desconhecido,ana,45.41
28.9,5.37,40.7,125.3,166.5,Tipo B,Carlos,52.21
39.55,5.68,16.6,181.8,245.1,tipo a,Ana,28.15
31.47,4.83,26.3,198.6,216.0,tipo a,ana,30.26
30.21,-1.0,21.8,125.6,129.1,Tipo B,Ana,31.77
25.76,4.08,22.5,105.6,162.1,Tipo A,Ana,27.01
25.79,4.25,16.4,181.6,144.3,Desconhecido,Carlos,21.01
35.38,4.41,41.0,162.0,178.1,TIPO C,ana,44.14
31.87,4.8,12.3,9999.0,203.2,,Carlos,27.42
28.4,5.69,23.3,125.2,201.4,Tipo B,Carlos,41.92
34.21,4.69,18.3,107.1,250.9,TIPO C,ana,26.72
28.79,5.31,33.2,149.2,137.8,tipo a,ana,46.5
33.66,5.42,21.2,108.5,289.3,tipo a,ana,27.69
30.39,5.17,21.3,126.2,168.6,Tipo C,,29.78
37.35,4.71,29.6,9999.0,160.0,Tipo C,ana,34.24
37.31,5.15,35.5,122.4,237.0,tipo a,Bruno,58.39
32.16,4.68,16.4,110.6,261.1,Tipo C,ana,35.6
30.26,4.17,18.3,195.4,175.7,Tipo C,bruno,35.24
30.44,5.99,20.9,9999.0,249.4,Tipo C,ana,35.0
37.09,4.25,47.1,144.4,,tipo a,Carlos,51.8
29.92,4.14,26.3,189.9,253.4,Tipo A,bruno,38.27
28.14,5.76,33.6,167.7,106.8,Tipo A,,35.87
26.27,4.6,20.7,161.8,265.5,Desconhecido,Desconhecido,46.62
32.0,5.3,29.7,170.6,254.9,Tipo-B,Ana,36.86
32.23,4.66,14.7,182.9,233.9,Tipo C,Bruno,27.12
37.61,4.78,13.3,187.8,252.0,Tipo A,bruno,41.04
28.32,4.52,28.9,9999.0,295.9,Tipo-B,,39.78
30.71,4.69,26.4,189.0,186.2,Tipo B,Ana,42.36
37.13,4.82,16.9,153.5,113.4,Tipo C,Bruno,32.8
37.35,5.44,36.8,127.7,192.2,Tipo A,ana,44.33
30.77,5.02,47.7,188.0,109.3,Tipo A,,51.41
31.89,5.89,26.2,154.1,158.9,TIPO C,Ana,41.0
29.55,4.08,,190.6,217.4,Tipo A,,44.61
38.99,5.01,46.7,104.0,161.9,TIPO C,Carlos,61.35
26.78,5.17,41.9,139.8,237.1,Tipo-B,Carlos,54.61
39.01,5.84,28.7,194.8,264.4,TIPO C,ana,46.73
35.26,4.1,38.5,125.0,184.1,Tipo B,Ana,51.81
32.97,5.15,16.6,194.2,280.0,,ana,36.91
25.49,5.71,30.4,195.4,116.0,Desconhecido,ana,40.7
32.13,4.48,22.0,188.2,268.0,,Bruno,35.43
31.12,5.75,17.8,156.4,265.7,Tipo C,Ana,23.27
27.42,4.04,27.3,164.7,164.4,Tipo A,Desconhecido,32.58
34.85,5.46,,187.0,159.7,Desconhecido,ana,40.38
39.57,5.87,37.2,177.6,161.0,tipo a,Bruno,50.2
33.43,5.31,28.4,163.0,262.3,Tipo C,Bruno,39.95
35.72,4.88,31.1,198.2,266.3,tipo a,Ana,52.21
26.03,4.09,17.3,168.6,165.9,Desconhecido,bruno,25.77
31.27,5.84,17.0,9999.0,,Tipo-B,,35.17
26.75,4.94,33.0,105.7,127.8,Tipo A,ana,46.54
34.19,4.06,47.5,113.9,193.8,Tipo C,ana,55.44
39.08,5.38,15.5,145.1,299.8,Tipo C,Ana,39.53
34.93,4.96,22.3,138.5,131.8,Tipo A,bruno,38.52
26.15,4.25,43.3,178.3,289.5,Desconhecido,Bruno,40.24
30.32,4.43,14.6,116.1,264.9,Tipo B,,34.95
33.26,4.13,43.5,197.6,294.4,Tipo-B,Carlos,56.94
31.05,5.15,30.9,131.5,135.9,Tipo A,ana,39.3
37.5,5.24,26.7,142.9,142.7,,Carlos,37.65
37.22,5.01,23.1,9999.0,103.4,,,37.73
34.18,5.63,22.7,157.9,244.9,TIPO C,ana,30.88
30.6,5.72,23.0,105.9,228.8,Tipo C,,38.37
28.83,5.23,43.9,115.0,135.6,Tipo B,Ana,48.34
26.59,4.03,38.1,174.6,258.2,Tipo C,ana,40.13
30.32,5.39,36.1,118.7,159.8,tipo a,bruno,47.31
,4.84,40.8,123.6,127.0,Tipo C,ana,50.33
35.14,5.13,21.3,179.3,184.5,,Ana,41.26
34.87,5.3,34.2,109.3,118.2,Tipo-B,,37.45
26.05,4.7,28.6,143.7,152.6,Tipo A,Desconhecido,41.14
30.93,5.83,40.2,102.3,174.3,Tipo C,Ana,54.5
27.73,4.27,23.1,134.7,270.4,,Ana,33.63
27.35,-1.0,35.2,169.9,258.5,TIPO C,Ana,44.16
37.41,4.01,43.8,109.0,188.6,tipo a,Ana,43.53
25.63,5.85,26.5,188.8,244.9,,bruno,36.83
31.29,4.23,14.4,9999.0,213.7,tipo a,ana,24.56
27.52,4.19,30.6,110.5,168.2,Tipo A,bruno,43.14
38.19,4.67,24.5,199.1,245.2,tipo a,bruno,53.89
33.36,4.75,36.2,129.8,236.7,Desconhecido,Desconhecido,58.85
28.47,4.43,46.2,108.4,223.8,Tipo A,Desconhecido,46.46
32.54,5.17,29.5,100.5,223.6,Tipo-B,ana,36.62
35.97,4.89,28.8,140.9,236.6,Tipo A,ana,45.56
39.37,4.07,35.6,163.0,176.9,,,45.76
28.31,4.64,15.7,133.2,273.8,Tipo B,Ana,29.6
38.29,-1.0,21.1,183.7,132.5,tipo a,bruno,49.3
39.01,5.38,45.1,9999.0,276.8,tipo a,Desconhecido,51.56
38.75,5.45,36.1,135.0,168.5,TIPO C,Carlos,49.15
,5.4,,173.4,125.0,,Ana,31.14
34.45,4.62,,194.0,220.0,Tipo C,,41.22
,4.2,36.6,109.3,175.2,Tipo B,Bruno,38.97
36.29,4.54,39.5,130.6,263.1,Desconhecido,bruno,57.6
32.97,5.66,42.2,146.3,186.2,Tipo C,Ana,51.33
35.16,5.96,22.5,149.8,233.7,Tipo A,ana,31.33
31.43,4.99,45.5,9999.0,161.7,Tipo-B,Ana,52.05
35.97,4.02,31.9,130.1,141.9,TIPO C,Bruno,46.25
37.37,4.28,37.1,166.7,177.6,tipo a,ana,58.65
27.2,4.64,33.5,164.5,221.4,Desconhecido,Carlos,41.07
37.49,5.16,16.4,157.8,231.4,,Desconhecido,44.88
33.1,4.15,46.7,111.4,215.6,Desconhecido,Desconhecido,58.15
37.67,5.89,16.4,147.7,297.6,Tipo-B,Bruno,30.27
31.47,4.73,21.2,135.6,238.2,Tipo A,,37.75
30.69,5.83,41.3,149.1,286.3,Tipo A,Bruno,53.24
38.73,5.56,34.3,9999.0,123.6,Tipo B,,46.21
28.77,5.51,42.2,148.1,112.3,Tipo C,,44.83
37.66,5.21,30.6,101.4,162.2,tipo a,Desconhecido,41.87
32.26,5.25,25.6,143.9,127.3,Desconhecido,Carlos,35.58
32.71,5.28,45.2,182.1,205.2,,Carlos,55.68
29.63,-1.0,13.3,178.0,203.8,,Ana,39.96
33.6,5.11,42.8,151.3,215.0,tipo a,Bruno,54.51
29.88,5.97,20.3,9999.0,249.0,Desconhecido,Bruno,40.1
25.59,5.46,42.6,146.5,294.3,Tipo-B,Bruno,51.79
29.08,5.55,17.0,156.4,,Tipo B,ana,45.54
25.1,5.74,32.9,200.0,123.7,TIPO C,Desconhecido,36.49
39.68,4.43,44.0,164.4,167.7,Tipo A,Desconhecido,44.32
39.49,4.17,29.0,169.4,151.2,Tipo B,Desconhecido,43.81
30.93,4.97,38.9,149.1,135.4,tipo a,Carlos,49.35
35.93,5.03,41.0,135.4,208.9,TIPO C,Desconhecido,59.13
30.19,5.66,38.5,181.3,210.7,Tipo C,Ana,56.94
35.07,4.89,45.3,149.5,145.4,Tipo-B,ana,46.12
37.08,5.14,28.1,199.5,242.4,Tipo A,Desconhecido,43.39
39.2,5.05,18.2,145.7,246.6,Tipo A,ana,36.88
31.0,4.08,,9999.0,104.2,Tipo A,ana,19.04
36.75,5.23,20.9,168.3,179.2,Tipo C,Carlos,36.36
28.99,5.66,17.2,104.7,,,Bruno,34.76
39.85,4.32,32.1,125.1,204.1,tipo a,ana,50.44
25.39,5.19,18.7,135.4,169.5,tipo a,Ana,31.69
34.05,5.19,13.4,173.9,150.7,Tipo B,Carlos,38.79
34.89,4.33,13.3,149.4,148.7,,bruno,30.51
35.32,4.25,41.9,102.9,120.0,TIPO C,ana,54.84
26.81,5.96,33.3,161.7,263.4,Desconhecido,,36.68
39.08,4.79,,141.1,117.3,Tipo B,ana,35.73
27.72,4.45,44.2,9999.0,158.5,tipo a,Bruno,61.22
34.34,4.34,14.5,150.0,109.1,Tipo A,Desconhecido,26.7
28.34,5.34,47.3,170.9,256.3,Tipo C,Carlos,59.28
29.61,5.22,34.2,121.9,107.9,tipo a,bruno,39.46
33.2,5.29,18.6,176.1,161.7,,Carlos,35.88
31.26,-1.0,36.4,9999.0,214.7,,Desconhecido,44.77
27.4,5.79,39.5,190.4,181.9,Tipo C,Carlos,50.14
27.56,4.78,27.5,9999.0,156.5,Tipo-B,bruno,39.72
31.27,4.63,43.0,9999.0,155.0,Tipo A,Carlos,47.01
,4.92,17.4,167.9,259.6,Tipo-B,Ana,38.98
38.47,4.78,22.0,109.5,294.8,tipo a,Ana,32.32
26.26,5.73,15.4,141.1,169.6,Tipo B,Desconhecido,35.26
30.9,-1.0,19.6,194.2,107.8,tipo a,,33.91
26.5,4.61,20.6,143.6,107.3,Tipo-B,,15.9
25.25,5.73,45.0,198.5,251.8,Tipo C,bruno,44.48
34.93,5.56,,105.7,210.5,TIPO C,bruno,32.98
,-1.0,27.4,171.8,256.7,TIPO C,bruno,44.82
27.45,4.49,31.2,158.1,239.5,tipo a,bruno,38.89
28.51,5.15,44.4,150.1,281.5,Desconhecido,bruno,52.71
25.36,4.55,47.9,197.1,277.2,Tipo B,,57.88
37.52,-1.0,39.1,9999.0,257.7,Tipo-B,Bruno,55.82
39.62,4.01,46.9,189.6,195.0,tipo a,Carlos,60.79
27.03,5.13,40.3,169.1,161.6,,ana,44.91
28.47,4.68,46.7,125.9,201.4,Tipo-B,bruno,58.75
38.03,4.65,37.5,190.2,200.4,Tipo-B,,39.83
38.9,-1.0,14.9,142.9,222.1,Tipo A,ana,31.61
31.29,5.7,26.5,181.4,137.2,TIPO C,Ana,41.05
25.76,5.22,35.3,138.9,231.1,Desconhecido,,37.09
25.59,5.71,24.6,185.1,191.3,TIPO C,ana,35.2
33.61,4.53,21.8,163.7,224.0,Tipo C,,39.19
,5.04,32.8,114.1,147.9,,ana,37.97
25.43,4.9,45.6,165.0,186.9,Desconhecido,,52.12
33.75,4.02,13.3,119.1,142.0,Tipo A,Carlos,19.94
25.17,5.11,39.7,141.2,275.1,TIPO C,ana,51.82
36.81,5.32,38.0,9999.0,,Tipo-B,Desconhecido,51.13
29.6,5.18,46.7,102.2,145.0,,,54.99
25.6,5.47,45.5,121.2,108.2,Tipo B,Desconhecido,48.18
33.83,5.14,39.4,153.6,235.1,Tipo B,,41.69
30.97,4.13,30.7,148.2,142.9,Tipo A,bruno,38.77
39.61,4.23,19.4,150.1,297.9,Tipo B,Bruno,45.0
33.16,5.19,31.6,124.8,206.7,Tipo-B,,47.79
29.13,4.55,39.6,168.5,157.8,Desconhecido,Bruno,56.17
35.64,4.16,44.2,170.4,231.5,tipo a,Carlos,53.38
29.07,4.86,40.4,135.8,155.0,Tipo-B,Bruno,44.07
,5.11,19.0,188.1,264.1,,ana,40.89
,4.66,33.6,164.4,161.6,TIPO C,Desconhecido,42.73
33.25,5.44,24.0,171.3,297.6,,bruno,36.11
,5.29,12.3,127.7,221.0,tipo a,Ana,16.71
31.39,4.67,19.2,100.1,268.9,,ana,34.05
37.49,5.51,16.1,186.5,114.6,Tipo B,Desconhecido,37.83
37.08,5.3,42.3,182.2,169.7,Desconhecido,Desconhecido,47.71
28.36,5.27,21.3,112.3,247.5,Tipo C,Carlos,40.43
28.39,5.11,22.2,137.4,231.0,Tipo C,ana,35.7
37.26,4.02,46.6,166.1,138.8,Tipo-B,,54.36
38.96,5.39,25.6,165.2,171.2,Tipo-B,Bruno,35.0
26.43,-1.0,12.3,186.0,152.7,Tipo B,Ana,29.42
31.75,5.89,22.2,114.0,222.7,Tipo C,Ana,27.29
30.06,5.64,,143.0,168.9,,,24.44
38.06,-1.0,15.7,109.7,161.8,Tipo C,Bruno,23.47
26.25,4.5,14.8,139.0,,Tipo-B,,40.06
28.17,4.41,33.4,101.5,181.8,TIPO C,bruno,40.03
36.29,4.68,18.8,189.8,139.1,Tipo C,Bruno,32.41
,4.95,25.0,152.7,292.5,Tipo-B,bruno,36.35
32.39,4.59,43.0,185.0,130.9,Tipo A,Ana,49.16
31.63,5.03,27.3,106.0,282.7,,ana,38.22
30.02,4.33,45.0,122.7,185.7,Tipo C,Carlos,52.01
30.92,5.96,29.9,125.9,175.6,tipo a,Desconhecido,36.03
32.95,4.22,26.4,138.7,146.3,Desconhecido,ana,37.65
27.42,5.86,,180.3,227.2,Tipo B,Ana,57.71
33.58,5.83,14.6,138.7,237.1,Desconhecido,Ana,20.06
37.08,5.05,15.2,120.5,193.5,,Ana,26.1
,5.45,35.5,106.5,111.1,,Desconhecido,47.43
27.31,4.87,29.5,107.9,283.7,Tipo-B,bruno,45.95
27.24,5.26,40.5,176.0,296.1,Tipo C,Carlos,64.27
29.02,4.68,45.0,144.5,186.2,Tipo C,ana,53.36
30.42,4.6,26.0,172.6,222.7,TIPO C,ana,32.57
31.13,5.16,33.5,168.2,190.1,Tipo-B,Carlos,51.97
35.2,5.0,30.0,113.5,164.4,tipo a,Carlos,42.27
25.85,5.16,47.3,114.3,115.5,Tipo C,bruno,50.79
25.52,4.57,41.9,175.5,191.2,Tipo A,ana,38.66
30.88,4.73,,172.1,263.7,Tipo B,Bruno,59.43
35.46,-1.0,21.2,137.8,103.4,Tipo-B,Bruno,28.88
27.9,4.1,39.8,9999.0,216.4,Tipo C,Carlos,47.25
34.62,4.51,21.6,101.2,276.2,Desconhecido,Ana,35.54
28.9,-1.0,19.5,128.8,143.5,TIPO C,Ana,30.68
38.29,4.21,,100.9,136.7,TIPO C,Desconhecido,52.9
38.44,5.63,,123.0,254.5,Tipo B,Bruno,26.38
29.46,4.08,46.8,142.0,151.0,,Ana,46.29
28.45,5.32,,112.1,138.4,Tipo-B,,33.64
,4.55,41.5,110.4,175.6,Tipo-B,Carlos,48.07
28.61,5.74,21.9,189.6,178.5,Tipo-B,Desconhecido,30.71
35.09,4.97,24.6,158.5,274.8,tipo a,Bruno,37.44
37.39,4.61,19.8,193.4,223.7,Tipo A,Desconhecido,40.91
35.1,5.04,33.1,134.6,181.2,TIPO C,Ana,41.3
37.37,4.76,24.5,167.7,206.9,Tipo-B,Carlos,48.28
30.95,5.13,35.7,120.5,290.8,tipo a,,44.83
27.34,-1.0,12.6,161.8,122.6,,Carlos,23.21
36.07,5.99,14.3,113.0,141.5,Tipo-B,Carlos,30.59
30.41,4.85,15.6,100.2,292.5,,Ana,28.31
35.07,-1.0,27.1,193.2,291.5,,,44.73
29.06,5.42,41.3,155.5,135.4,Tipo-B,,47.92
26.22,4.73,44.0,192.7,129.0,,bruno,41.67
39.89,5.67,20.8,133.4,184.2,tipo a,ana,30.96
27.34,4.91,32.7,132.8,109.9,Tipo A,ana,41.97
39.83,5.44,39.7,140.1,231.0,Tipo B,Carlos,49.45
39.66,4.21,22.4,170.6,115.5,TIPO C,ana,47.69
36.91,5.69,26.7,156.6,111.6,,bruno,35.49
34.89,5.47,30.9,192.5,197.0,Tipo C,Carlos,37.75
33.67,4.42,16.9,102.5,291.6,Desconhecido,bruno,31.47
37.99,4.29,12.9,170.8,185.4,Tipo-B,Bruno,31.87
29.34,4.63,17.5,133.0,171.3,Tipo A,ana,34.65
32.02,5.95,34.6,118.0,299.6,TIPO C,,30.48
34.29,4.51,14.7,151.0,206.4,Tipo C,Bruno,38.25
31.17,4.91,18.8,150.5,175.0,Tipo-B,Carlos,26.29
31.41,4.06,24.2,113.7,177.2,Desconhecido,,39.11
29.95,4.79,14.8,120.2,139.0,Tipo C,Desconhecido,37.76
33.46,5.14,18.9,140.8,202.4,,Desconhecido,37.49
37.76,5.91,44.8,140.9,187.8,tipo a,Ana,47.02
28.02,5.03,12.7,131.8,154.2,Desconhecido,Bruno,25.26
39.02,5.64,35.5,9999.0,132.1,TIPO C,Bruno,49.78
35.34,5.09,25.8,100.4,162.2,Tipo A,Desconhecido,38.29
,4.08,36.2,197.0,201.7,Tipo A,Carlos,42.67
33.34,4.63,33.2,194.3,111.7,TIPO C,,45.34
36.69,5.15,,148.4,130.7,,,32.83
25.24,5.9,42.5,9999.0,289.5,,,51.83
37.28,5.72,29.7,167.4,208.6,Tipo B,Ana,37.7
25.6,4.46,41.6,106.9,112.7,Tipo B,Bruno,35.37
38.35,4.44,26.6,111.8,238.6,,Ana,35.17
,4.4,47.4,191.6,112.4,Tipo C,Bruno,48.99
29.41,5.84,39.7,163.0,247.8,tipo a,bruno,44.01
28.15,5.71,46.8,184.3,250.0,Tipo C,,56.48
36.48,5.55,30.5,189.8,230.2,Tipo-B,bruno,42.75
28.8,4.79,29.1,144.8,246.4,Tipo A,Ana,39.88
37.98,5.01,39.2,104.9,117.6,Tipo C,,43.89
26.54,4.93,43.7,118.8,245.4,Tipo C,,49.49
26.89,4.51,,106.7,127.3,,Desconhecido,44.87
39.69,5.01,23.7,118.9,167.9,TIPO C,Desconhecido,32.94
35.11,4.06,40.8,9999.0,288.5,Desconhecido,Bruno,48.39
37.7,4.26,19.6,111.8,200.6,Tipo A,ana,30.39
29.86,5.77,31.6,116.7,293.5,,bruno,26.55
35.15,5.5,18.5,144.6,117.8,Tipo A,bruno,32.4
33.91,4.85,24.5,134.0,195.5,,Ana,32.99
34.05,5.03,45.5,146.8,112.5,Tipo B,,48.08
35.24,4.74,17.3,142.9,226.0,Tipo B,ana,40.4
33.63,5.48,34.8,164.4,115.7,Tipo A,Ana,49.31
31.44,5.57,33.3,193.7,135.1,Desconhecido,Desconhecido,45.81
29.14,5.53,16.3,110.8,151.8,Tipo C,Desconhecido,28.36
36.53,5.45,23.7,109.9,249.7,Tipo-B,ana,40.74
28.39,4.41,32.3,185.3,132.8,Tipo C,ana,39.61
,4.68,18.7,150.6,269.3,Desconhecido,Desconhecido,35.55
28.5,4.94,40.8,176.6,126.4,Tipo-B,Carlos,46.55
34.38,4.66,47.0,9999.0,107.0,Tipo A,,53.99
36.21,5.51,19.7,182.9,179.0,TIPO C,bruno,37.34
28.28,4.66,18.7,192.4,295.9,Tipo-B,bruno,34.91
25.9,4.28,28.4,163.5,122.1,Tipo B,Ana,34.62
26.96,4.8,38.9,110.6,120.3,TIPO C,bruno,47.85
34.09,5.96,22.1,189.5,250.2,,Ana,35.11
37.74,4.45,12.7,179.2,162.4,Desconhecido,ana,29.74
,5.22,31.5,175.1,243.5,Tipo A,ana,32.34
36.01,4.87,46.4,103.7,140.0,Desconhecido,Carlos,49.44
30.12,4.14,26.1,179.9,192.0,tipo a,,41.42
32.18,4.98,27.1,113.8,153.1,Tipo-B,ana,42.08
38.93,5.4,46.9,122.2,190.3,Tipo-B,,55.78
29.98,5.03,37.0,157.7,253.8,,Desconhecido,44.22
31.98,5.74,37.9,126.5,252.4,Desconhecido,Carlos,46.9
25.21,4.58,32.3,166.1,203.2,TIPO C,Desconhecido,28.87
26.22,4.17,,160.8,285.7,tipo a,Desconhecido,52.47
28.88,5.87,36.8,9999.0,152.8,tipo a,Ana,35.86
25.42,4.76,,165.6,148.1,Tipo A,,49.18
34.47,5.15,37.2,9999.0,222.8,TIPO C,Desconhecido,50.67
31.4,5.58,38.5,116.1,224.3,,,44.53
33.22,4.65,22.5,9999.0,,Tipo C,Carlos,39.44
27.62,5.43,22.9,134.2,221.6,tipo a,Bruno,30.86
29.44,4.27,,146.0,174.9,Desconhecido,ana,43.07
34.96,4.58,22.7,128.7,249.5,Tipo-B,Ana,40.04
39.48,4.29,32.3,135.4,261.6,tipo a,,43.6
25.76,-1.0,21.0,102.9,210.4,Desconhecido,ana,36.99
38.36,4.45,41.4,198.2,100.3,Tipo A,Desconhecido,52.65
33.65,5.43,16.0,162.5,227.3,Tipo A,Desconhecido,34.88
33.46,-1.0,41.9,150.1,249.8,Tipo-B,bruno,54.47
32.5,5.06,33.7,138.4,149.8,,,43.56
26.04,5.08,18.7,153.9,192.9,Tipo-B,Ana,23.36
26.35,-1.0,31.5,138.0,293.1,Tipo-B,Ana,44.37
34.01,4.65,22.2,136.0,159.6,Tipo C,Carlos,41.57
30.11,4.95,23.6,146.4,144.6,Tipo-B,Bruno,34.28
38.76,5.21,24.7,127.6,142.2,,Carlos,44.1
31.1,5.97,14.3,118.0,211.8,TIPO C,Carlos,20.6
27.15,5.88,47.5,155.7,,Tipo A,Carlos,52.88
35.72,5.72,13.1,184.3,221.7,,Bruno,29.14
29.4,5.78,35.8,115.3,160.7,Tipo A,Carlos,34.31
32.88,4.94,25.4,103.3,227.7,tipo a,ana,39.53
35.47,5.31,35.3,124.7,225.0,Tipo-B,Ana,41.93
38.5,-1.0,24.8,198.0,219.4,Tipo C,Bruno,42.47
36.88,-1.0,36.3,182.9,131.9,TIPO C,Desconhecido,43.65
35.15,5.92,38.3,159.6,226.9,Tipo B,bruno,39.3
35.19,4.83,36.9,192.9,186.0,tipo a,bruno,45.73
39.19,5.2,16.1,9999.0,103.7,,,38.2
29.44,5.42,35.6,198.3,208.0,TIPO C,ana,45.3
25.02,5.9,22.1,129.6,297.9,Desconhecido,Ana,31.58
29.08,4.49,13.0,124.0,169.9,Tipo C,bruno,26.88
,5.49,26.9,163.8,293.1,Tipo-B,ana,39.26
34.93,5.04,27.6,137.8,119.2,Tipo C,ana,49.37
34.51,4.54,28.8,162.6,246.5,Tipo B,bruno,42.02
33.9,5.55,37.4,130.5,122.9,TIPO C,bruno,36.44
25.24,5.1,23.1,161.8,154.7,Tipo C,ana,31.95
35.93,-1.0,23.4,127.6,214.2,Desconhecido,ana,37.94
29.85,4.65,14.2,105.1,218.6,Tipo B,Desconhecido,21.3
34.98,4.96,36.7,191.2,255.0,Tipo B,bruno,48.63
33.35,5.23,32.4,188.3,223.1,TIPO C,Carlos,44.29
30.14,4.81,24.6,197.1,,Tipo B,ana,47.38
,4.4,37.4,171.7,282.5,TIPO C,Ana,42.52
